page,person_or_pin,claim,citation_on_page,provenance,how_i_know,flag
"map.html","chantenay","Chantenay, on the Loire below Nantes","Patrimonia Nantes, ""Fresque des Acadiens""; Acadian.org, ships transporting Acadians to Louisiana, 1785. THIS IS A LEAD, NOT A FINDING: no document names any Pédeau in connection with the Acadians. What the overlap supplies is a plausible mechanism — a neighbourhood that knew exactly where in Louisiana to go — which ""he emigrated"" does not. The Saint-Martin de Chantenay registers are where it would be proved or killed.","D fetched online source","https://patrimonia.nantes.fr/home/decouvrir/themes-et-quartiers/fresque-des-acadiens.html | https://www.acadian.org/culture/louisiana/ships-transportation-acadians-louisiana/",""
"map.html","moulin-de-la-marche","The Moulin de la Marche, Sainte-Pazanne","Destination Pornic heritage notice, ""Les moulins de Sainte-Pazanne."" CORRECTION CARRIED FORWARD: this archive previously placed the mill near the rue de l'Abreuvoir. Every source found says rue de l'Auditoire. The rue de l'Abreuvoir does exist in Sainte-Pazanne but nothing connects it to the mill, so the earlier reading is withdrawn as unverified.","D fetched online source","https://www.cirkwi.com/en/point-interet/1039781-les-moulins-de-sainte-pazanne",""
"map.html","brulon","Brûlon, province of Maine","St. James Parish sacramental records; see his page for the identification of Brûlon.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","bertrambois","Bertrambois, Meurthe-et-Moselle","Bertrambois marriage of his parents, 1808 — see his page. The Lorraine identification corrects an older assumption of German origin.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","edgard","Edgard, St. John the Baptist Parish","Edgard sacramental registers, November 1829; United States Census, 1880, Edgard, St. John the Baptist Parish, 1st Ward, ED 160, sheet 7B; family notes of Judy Larmann Gifford.","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","st-james-parish","St. James Parish, on the river","St. James Parish sacramental records; see the Gaiennie entries.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","gesmold","Gesmold, Kingdom of Hanover","FamilySearch profile with forty-four attached records giving his birth and christening at Gesmold; Esther Larmann's handwritten ledger, copied out by Judy Gifford, August 2026.","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","ibbenburen","Ibbenbüren, Westphalia","GenWiki (Ibbenbüren and Kreis Tecklenburg); Stadtmuseum Ibbenbüren town chronicle; Friedrich Müller, Westfälische Auswanderer im 19. Jahrhundert. ONE HONEST NOTE: of Müller's published records, the documented American chain from Ibbenbüren parish itself pointed mainly at Cincinnati; the New Orleans channel in that district ran through neighbouring parishes.","D fetched online source","https://vereine.genealogy.net/wggf/downloads/BZWF22_24_Auswanderer_RBZ_Muenster.pdf | https://wiki.genealogy.net/Ibbenb%C3%BCren",""
"map.html","plataci","Plataci, Cosenza, Calabria","Plataci birth register, 5 May 1893, read from the original image; Ellis Island manifest, 1912; Orleans Parish marriage record, June 1921. The birth act is reproduced on his page.","D fetched online source","https://en.wikipedia.org/wiki/Plataci",""
"map.html","saint-enogat","Saint-Énogat, Brittany","Diocese of Baton Rouge Catholic Church Records vol. 3, as abstracted by Steven A. Cormier, Acadians in Gray; the 1785 sailing lists.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","bordeaux","Bordeaux, Gironde","Louisiana, Orleans, Death Records and Certificates — Alfred L. Moizant, 23 February 1933; obituary, New Orleans, 23 February 1933; voter registration, 9 December 1931.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","machecoul","Machecoul — La Trinité and Sainte-Croix","InfoBretagne, Machecoul; Filae surname index (record occurrences, not people). TWO DATING CAVEATS: the church of La Trinité standing today is neo-Gothic, built 1863–1881, so the acts were witnessed in its medieval predecessor; and the ruins of Sainte-Croix could not be geolocated, so this pin is on La Trinité. Sainte-Pazanne's own church, where Michel was baptised in 1739, was burned in the Revolution and rebuilt in 1819.","D fetched online source","https://www.infobretagne.com/machecoul.htm",""
"map.html","casper-dauphine","2833 Dauphine Street","The number is 2833, from two independent directions: the 1900 census transcription, and John Larmann Sr.'s own account of visiting Casper's children here, passed to his grandson. Casper's 1921 obituary prints 2883 ""near Press"" — a single source against two, and treated here as the outlier rather than quietly averaged away.","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","casper-independence","32 Independence Street — the 600 block today","Sanborn Fire Insurance Map from New Orleans, 1893, Vol. IV, plate 148 — Library of Congress, Geography and Map Division. Reproduced on his page. The pin sits on the surveyed Independence × Royal intersection; the block runs from there down to Chartres at 29.96113, -90.03959, and is the 600 block in modern numbering.","D fetched online source","https://www.loc.gov/item/sanborn03376_004/",""
"map.html","larmann-922-port","922 Port Street","United States Census, 1900 — Louisiana, Orleans, ED 85, 4th Precinct, New Orleans Ward 9, sheet 14A, line 46; house 922, dwelling 258, family 267 (NARA T623). The same sheet reproduced on his page.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","stauder-dauphine","690 Dauphine Street","United States Census, 1880 — Orleans Parish, dwelling 117.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","larmann-1607-piety","1607 Piety Street","United States Census, 1950 — New Orleans, Orleans Parish, ED 36-460, page 77, lines 3–7 (NARA T628). House number 1607, dwelling 64, read off the sheet; the street is written vertically in column 1 as ""Piety."" Neighbours at 1615 and 1511 on the same page match the modern block exactly.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","pedeaux-west-end","6509 West End Boulevard","United States, World War II Draft Registration Cards, 1942 — 4th Registration, State of Louisiana; serial U-1108, signed Numa L. Pedeaux. The card is reproduced on his page.","D fetched online source","https://catalog.archives.gov/id/576248",""
"map.html","mcdonogh-16","McDonogh School No. 16 — 1814 Bourbon Street","Soards' New Orleans City Directory, 1908 p. 762, 1910 p. 817, and 1912 — all giving the school and its Bourbon Street address; New Orleans Public Library Obituary Index for the forty years. The directories give the school's street number but no building survives under that number in modern addressing, so this pin is on the block.","D fetched online source","https://nolacityarchives.org/genealogy-guide/obituary-index/",""
"map.html","wellmeyer-alvar","1029 Alvar Street — and 3903 N. Rampart round the corner","Soards' New Orleans City Directory, 1908 p. 1100, 1910 p. 1177, and 1912. Pin is on the 1910 address; 3903 N. Rampart is the corner behind it.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","neville-canal","W. H. Neville — 931 Canal Street","Soards' New Orleans City Directory, 1912, p. 871. The 1910 directory also lists ""Pedeaux Numa, electrician,"" at a Columbus Street address the OCR truncates — unverified and therefore not plotted.","D fetched online source","https://babel.hathitrust.org/cgi/pt?id=uiug.30112045772842&seq=873",""
"map.html","maritime-electric","Maritime Electric Co. — 615 Commerce Place","United States, World War II Draft Registration Cards, 1942, serial U-1108. ""Commerce Place"" does not appear in modern New Orleans addressing, so this pin sits on Commerce Street in the Warehouse District rather than on a doorway — the block is right, the building is not identified.","D fetched online source","https://catalog.archives.gov/id/576248",""
"map.html","lemoine-camp","5608 Camp Street","Louisiana, World War I Service Records, 1917–1920 — Orleans, Navy Records. The card itself is reproduced on his page.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","goubler-ferdinand","1722 St. Ferdinand Street","Obituary and Orleans Parish records — see the Goubler entries.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","moore-franklin-727","727 Franklin Avenue","United States Census, 1940 — New Orleans Ward 9, ED 36-246, sheet 11A, line 38, household 255 (NARA T627). The enumerator wrote the street as ""Almonaster""; the house number was checked digit by digit against 919, 923 and 925 on the same sheet, whose nines are looped where this seven is not. Occupation from the New Orleans Public Library Obituary Index, 1804–1972. ONE CAVEAT KEPT IN VIEW: a search of digitised New Orleans papers finds no occurrence of ""727 Almonaster"" in 1947 or 1948, so the newspapers have not corroborated the number. That is weak evidence either way — death-notice type is small and OCR of it is poor — and the census sheet remains the primary source.","D fetched online source","https://nolacityarchives.org/changes-in-street-names/ | https://nolacityarchives.org/genealogy-guide/obituary-index/",""
"map.html","moore-franklin-927","927 Franklin Avenue — THE HOUSE","United States Census, 1910 — New Orleans Ward 9, ED 132, sheet 7A, dwelling 126, family 142 (NARA T624); the enumerator wrote the street as ""Lafayette Street,"" which was its correct name in 1910. The house number comes from family memory — John Larmann Sr. named 927 to his grandson — and the census independently puts this household at 927 on this block. Street name chain documented: Enghein → Lafayette Avenue (Ord. 395 C.C., 1852) → Almonaster Avenue (Ord. 7742 C.C.S., 20 Feb 1924) → Franklin Avenue (Ord. 1215 M.C.S., 31 Oct 1957). See Charles Emile Larmann's page.","D fetched online source","https://nolacityarchives.org/changes-in-street-names/",""
"map.html","holy-trinity","Holy Trinity Church — 721 St. Ferdinand Street","Casper's obituary; parish history. Distance measured between the two geocoded points on this map — his house at 2833 Dauphine is the next marker over.","D fetched online source","https://www.neworleanschurches.com/holytrinity/holytrin.htm",""
"map.html","st-vincent-de-paul-church","St. Vincent de Paul Church — 3051 Dauphine Street","Archdiocese of New Orleans; St. Vincent de Paul Roman Catholic Church, New Orleans. Distance measured between the two geocoded points on this map.","D fetched online source","https://www.neworleanschurches.com/stvincent/index.htm",""
"map.html","st-cecilia","St. Cecilia Church — 4201 N. Rampart Street","Family testimony (Kevin Pedeaux, August 2026) for the church; Orleans Parish marriage record, July 1947, p. 3644 for the marriage. Parish history and closure: Archdiocese of New Orleans.","D fetched online source","https://www.neworleanschurches.com/stcecilia/stcecilia.htm",""
"map.html","st-catherine-siena","St. Catherine of Siena — 105 Bonnabel Boulevard, Metairie","Family testimony (Kevin Pedeaux, August 2026).","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","wellmeyer-grocery","B. H. Wellmeyer's grocery — Clouet at N. Rampart","Gardner's 1861 and 1866; Soards' 1875 (pp. 701 and 797), 1878 and 1883; Polk's 1876 and 1884. The street number 761 is pre-1894 and does not map; THE CORNER IS THE RELIABLE LOCATOR, and it still exists.","D fetched online source","https://static.case.law/la-ann/34/cases/0819-01.json | https://babel.hathitrust.org/cgi/pt?id=umn.31951002253299l&seq=705",""
"map.html","wellmeyer-conti","1322 Conti Street, Apt. S","United States, World War II Draft Registration Cards, Fourth Registration, Louisiana — NARA RG 147, Local Board No. 4, Orleans Parish, registered 27 April 1942.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","st-roch-cem","St. Roch Cemetery — 1725 St. Roch Avenue","Archdiocese of New Orleans, Catholic Cemeteries burial register, profile 36953104. Searched 12 August 2026.","D fetched online source","https://nolacatholiccem.discovereverafter.com/profile/36953104",""
"map.html","st-louis-3","St. Louis Cemetery No. 3 — 3421 Esplanade Avenue","Archdiocese of New Orleans, Catholic Cemeteries burial register, profiles 36915128–36915133 and 36892935–36892936.","D fetched online source","https://nolacatholiccem.discovereverafter.com/profile/36915133 | https://nolacatholiccem.discovereverafter.com/profile/36915129",""
"map.html","st-vincent-3","St. Vincent de Paul Cemetery No. 3 — Louisa Street","Find a Grave; family photographs; and the negative result documented on John Sr.'s page.","D fetched online source","https://www.findagrave.com/cemetery/1393396",""
"map.html","greenwood","Greenwood Cemetery — the A. F. Gaiennie tomb","Find a Grave memorials 63452655, 63452656, 34208483, 137366059 and 63452654; New Orleans Public Library Obituary Index for the death dates and notice citations. The tomb itself has not been located within the cemetery, so the pin is on the grounds.","D fetched online source","https://www.findagrave.com/memorial/63452655/numa_louis_charles-pedeaux | https://www.findagrave.com/memorial/63452654/lorraine_marie-pedeaux",""
"map.html","stvdp-no1","St. Vincent de Paul Cemetery No. 1 — Louisa Street","Find a Grave memorials 177528019, 177527347, 177526988, 127973803, 291559760, 291559780, 256882338 and 256882339. ONE WARNING WORTH KEEPING: there are two unrelated St. Vincent de Paul cemeteries in New Orleans. This family's are the Louisa Street group in the Bywater. The other is uptown on Soniat Street and has nothing to do with them.","D fetched online source","https://www.findagrave.com/memorial/177528019/bernard-henry-wellmeyer | https://www.findagrave.com/memorial/256882338/charles-emile-larmann",""
"map.html","stlouis-no2","St. Louis Cemetery No. 2","Find a Grave memorial 208703495; New Orleans Public Library Obituary Index (Times-Picayune, 26 January 1930, p. 2 col. 6) and the archdiocese's burial register, which agree on 25 January against Find a Grave's 15 January.","D fetched online source","https://www.findagrave.com/memorial/208703495/edward_hector-pedeaux",""
"map.html","cypress-grove","Cypress Grove Cemetery — 120 City Park Avenue","Obituary, ""WINSTINE — Agnes Hanley,"" New Orleans, November 1964 — the same notice that names her daughter Johanna and proved the link. Quoted in full on the field notes page.","D fetched online source","https://nolacityarchives.org/genealogy-guide/obituary-index/",""
"map.html","st-alphonsus","St. Alphonsus Church — 2030 Constance Street","Obituary, New Orleans, November 1964.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","arlington","Arlington National Cemetery — section 34, grave 1964","Army Cemeteries Explorer, section 34, grave 1964.","D fetched online source","https://ancexplorer.army.mil/publicwmv/",""
"map.html","mare-island","Vallejo, California — Mare Island","United States Census, 1930 — Vallejo, Solano County, California, sheet 4A, line 38.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","plattenville","Church of the Assumption, Plattenville","Diocese of Baton Rouge Catholic Church Records, vol. 3, pp. 37, 683 (first marriage) and 37, 69 (second), as abstracted by Steven A. Cormier, Acadians in Gray. Witnesses to the 1808 marriage: Pierre-Hypolite Brais, Jean-Baptiste Tojan and Isaac Landry.","D fetched online source","https://diobr.org/archives-publications | http://www.acadiansingray.com/Appendices-ATLAL-AUCOIN.htm",""
"map.html","albemarle-4th-ward","The 4th Ward, Albemarle post office","United States Census, 1860 — Assumption Parish, 4th Ward, reel M653-407, p. 29, enumerated 14 June 1860 by Louis U. Folse; USGenWeb Census Project transcription by Audrey B. Westerman. NO COORDINATE EXISTS for Albemarle Plantation in any gazetteer searched, so this pin sits on Napoleonville, the nearest reliable anchor on the same bank.","D fetched online source","http://us-census.org/pub/usgenweb/census/la/assumption/1860/pg00021.txt",""
"map.html","labadieville","Labadieville, Assumption Parish","Assumption Parish sacramental registers — see the Pedeaux entries.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","buras","Buras, Plaquemines Parish","Orleans and Plaquemines records — see her page.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","nairn","Nairn, Plaquemines Parish","United States Census, 1910 — Nairn, Plaquemines Parish.","D/Z source named in prose only","no outbound link on this pin","FLAG"
"map.html","brunetti-mazant","Mazant & Derbigny — Square 724, Lot A","City of New Orleans, 1934 Real Estate Tax bill no. 48051 (9-W 724), receipted November 1934 — family papers, photographed August 2026. Reproduced on John Brunetti's page. The pin is the surveyed Mazant × N. Derbigny intersection; the lot is one of its four corners, and the bill does not say which.","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","pedeaux-pirate","2212 Pirate Drive, Chalmette","Family testimony (Kevin Pedeaux, August 2026); Orleans and St. Bernard records; obituaries.","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","kevin-marquez","2905 Marquez Drive, Meraux","Family testimony (Kevin Pedeaux, August 2026).","B transcription supplied by Kevin","no outbound link on this pin","FLAG"
"map.html","long-beach","Long Beach, Mississippi","Obituary, 2013; Catholic Cemeteries burial register.","D/Z source named in prose only","no outbound link on this pin","FLAG"
index.html,johnCasparLarmann,"Marriage licence 27 Oct 1870: Johan Kasper Larmann 23 of Hanover, issue of J. C. B. Larmann; Marie Emily Mevers 23 of Pascagoula, issue of A. Mevers; witnesses Anton Mevers and C. F. Henslage","Orleans Parish marriage licence, Fourth Justice of the Peace, 27 October 1870","document image in the repo (assets/img/larmann-1870-marriage-license.jpg)","Read the licence image directly, August 2026. Supplied by Kevin Pedeaux.",VERIFIED
index.html,johnCasparLarmann,"Death act 16 Apr 1880: Charles A. Clemence Larmann, aged 3y 11m 5d, measles, d. 15 April 1880 at 710 Love Street; child of deponent John Casper Larmann and Emily Mevers; signed at foot Johann Kesper Larmann","Orleans Parish death act, Board of Health, 16 April 1880, p. 537","document image in the repo (assets/img/larmann-1880-clemence-death.jpg)","Read the act image directly, August 2026. Age computes to birth 10 May 1876, matching the Orleans birth index entry already on the page.",VERIFIED
index.html,henryBernardWellmeyer,"Buried St. Vincent de Paul Cemetery No. 1, New Orleans; d. 23 Sep 1880","Find a Grave memorial 177528019","fetched index result (URL)","Searched Find a Grave 12 Aug 2026; death date matches the Louisiana death index entry already on the page. Cemetery attribution is user-contributed, interment book not seen.",VERIFIED
index.html,henryBernardWellmeyer,"Archdiocese burial database returns only one Wellmeyer in the whole system (Hazel Joan, 1977, St. Louis)","New Orleans Catholic Cemeteries search, nolacatholiccem.discovereverafter.com","fetched index result (URL)","Searched surname Wellmeyer across all cemeteries 12 Aug 2026; 1 result. Documents the coverage gap for 19th-century St. Vincent de Paul burials.",VERIFIED
